sent_id,sentence,span,head_form,head_lemma,head_upos,case_marker,preposition,dative_type,relation,governor,governor_upos,split
train-s1,"Sehr gute Beratung, schnelle Behebung der Probleme, so stelle ich mir Kundenservice vor.",mir,mir,ich,PRON,,,core_dative_argument,obl:arg,stelle,VERB,train
train-s2,Die Kosten sind definitiv auch im Rahmen.,dem Rahmen,Rahmen,Rahmen,NOUN,in,in,dative_prep_in,obl,sind,VERB,train
train-s4,"Ich bin seit längerer Zeit zur Behandlung verschiedenster ""Leiden"" in der Physiotherapieraxis ""Gaby Montag"" im Vital Center und kann ausschließlich Positives berichten!",längerer Zeit,Zeit,Zeit,NOUN,seit,seit,dative_prep_seit,obl,bin,VERB,train
train-s4,"Ich bin seit längerer Zeit zur Behandlung verschiedenster ""Leiden"" in der Physiotherapieraxis ""Gaby Montag"" im Vital Center und kann ausschließlich Positives berichten!",der Behandlung,Behandlung,Behandlung,NOUN,zu,zu,dative_prep_zu,obl,bin,VERB,train
train-s4,"Ich bin seit längerer Zeit zur Behandlung verschiedenster ""Leiden"" in der Physiotherapieraxis ""Gaby Montag"" im Vital Center und kann ausschließlich Positives berichten!",der Physiotherapieraxis,Physiotherapieraxis,Physiotherapieraxis,NOUN,in,in,dative_prep_in,obl,bin,VERB,train
train-s4,"Ich bin seit längerer Zeit zur Behandlung verschiedenster ""Leiden"" in der Physiotherapieraxis ""Gaby Montag"" im Vital Center und kann ausschließlich Positives berichten!",dem Vital Center,Vital,Vital,PROPN,in,in,dative_prep_in,nmod,Physiotherapieraxis,NOUN,train
train-s4,"Ich bin seit längerer Zeit zur Behandlung verschiedenster ""Leiden"" in der Physiotherapieraxis ""Gaby Montag"" im Vital Center und kann ausschließlich Positives berichten!",Center,Center,Center,PROPN,,,other_dative,flat,Vital,PROPN,train
train-s5,"Ob bei der Terminvergabe, den Behandlungsräumen oder den individuell zugeschnittenen Trainingsplänen sind alle Mitarbeiter äußerst kompetent und flexibel.",der Terminvergabe,Terminvergabe,Terminvergabe,NOUN,bei,bei,dative_prep_bei,nmod,kompetent,ADJ,train
train-s5,"Ob bei der Terminvergabe, den Behandlungsräumen oder den individuell zugeschnittenen Trainingsplänen sind alle Mitarbeiter äußerst kompetent und flexibel.",den Behandlungsräumen,Behandlungsräumen,Behandlungsraum,NOUN,,,other_dative,conj,Terminvergabe,NOUN,train
train-s5,"Ob bei der Terminvergabe, den Behandlungsräumen oder den individuell zugeschnittenen Trainingsplänen sind alle Mitarbeiter äußerst kompetent und flexibel.",den zugeschnittenen Trainingsplänen,Trainingsplänen,Trainingsplan,NOUN,,,other_dative,conj,Terminvergabe,NOUN,train
train-s6,"Sauberkeit, Ordnung und Freundlichkeit brauche ich hier nicht zu erwähnen, denn das gehört für mich zum Standard, der aber auch noch übertroffen wird.",dem Standard,Standard,Standard,NOUN,zu,zu,dative_prep_zu,obl,gehört,VERB,train
train-s7,"Physiotherapie ist zwar oftmals auch anstrengend, aber in dieser Umgebeung freut man sich auf jede Minute Behandlung.",dieser Umgebeung,Umgebeung,Umgebeung,NOUN,in,in,dative_prep_in,obl,freut,VERB,train
train-s9,"Eine Stunde später gab man uns dann endlich einen Tisch, der allerdings noch nicht einmal abgeräumt war.",uns,uns,wir,PRON,,,core_dative_argument,obl:arg,gab,VERB,train
train-s11,"nach fast einer weiteren Stunde, nachdem sich mein Verlobter mehrmals erkundigt und zuletzt sogar beschwert hatte kam endlich der Konditor.",einer weiteren Stunde,Stunde,Stunde,NOUN,nach,nach,dative_prep_nach,obl,kam,VERB,train
train-s12,Jemand unfreundlicheres ist mir in meinem ganzen Leben noch nicht begegnet!,mir,mir,ich,PRON,,,core_dative_argument,obl:arg,begegnet,VERB,train
train-s12,Jemand unfreundlicheres ist mir in meinem ganzen Leben noch nicht begegnet!,ganzen Leben,Leben,Leben,NOUN,in,in,dative_prep_in,obl,begegnet,VERB,train
train-s13,Das war der Punkt an dem wir hätten gehen sollen.,dem,dem,der,PRON,an,an,dative_prep_an,obl,gehen,VERB,train
train-s14,"Aber da es mittlerweile nur noch 3 Wochen bis zur Hochzeit waren und wir keinen anderen Konditor wussten, blieben wir.",3 Wochen,Wochen,Woche,NOUN,,,other_dative,advcl,blieben,VERB,train
train-s14,"Aber da es mittlerweile nur noch 3 Wochen bis zur Hochzeit waren und wir keinen anderen Konditor wussten, blieben wir.",der Hochzeit,Hochzeit,Hochzeit,NOUN,zu,zu,dative_prep_zu,nmod,bis,ADP,train
train-s16,Für eine 300 Euro teuere Torte von einem angeblichen Meisterkonditor war das einfach nur furchtbar -- die gelieferte Torte hatte keinerlei Ähnlichkeit mit dem Bild der Torte die wir haben wollten (welches wir ihm ja überlassen hatten).,einem angeblichen Meisterkonditor,Meisterkonditor,Meisterkonditor,NOUN,von,von,dative_prep_von,nmod,Torte,NOUN,train
train-s16,Für eine 300 Euro teuere Torte von einem angeblichen Meisterkonditor war das einfach nur furchtbar -- die gelieferte Torte hatte keinerlei Ähnlichkeit mit dem Bild der Torte die wir haben wollten (welches wir ihm ja überlassen hatten).,dem Bild,Bild,Bild,NOUN,mit,mit,dative_prep_mit,nmod,Ähnlichkeit,NOUN,train
